Timestep,ResponderID,X,Y,Active,RescuedCount
1,6,6,25,True,0
1,7,45,24,True,0
2,6,7,25,True,0
2,7,44,24,True,0
3,6,8,25,True,0
3,7,44,23,True,0
4,6,9,25,True,0
4,7,44,22,True,0
5,6,10,25,True,0
5,7,44,23,True,0
6,6,11,25,True,0
6,7,44,24,True,0
7,6,12,25,True,0
7,7,44,25,True,0
8,6,13,25,True,0
8,7,44,26,True,0
9,6,14,25,True,0
9,7,44,27,True,0
10,6,14,24,True,0
10,7,44,28,True,0
11,6,14,23,True,0
11,7,44,27,True,0
12,6,14,22,True,0
12,7,44,26,True,0
13,6,14,23,True,0
13,7,43,26,True,0
14,6,14,24,True,0
14,7,42,26,True,0
15,6,14,25,True,0
15,7,41,26,True,0
16,6,14,26,True,0
16,7,40,26,True,0
17,6,14,27,True,0
17,7,39,26,True,0
18,6,14,28,True,0
18,7,38,26,True,0
19,6,14,28,True,0
19,7,37,26,True,0
20,6,14,28,True,0
20,7,37,27,True,0
21,6,14,28,True,0
21,7,37,28,True,0
22,6,14,28,True,0
22,7,37,29,True,0
23,6,14,28,True,0
23,7,37,30,True,0
24,6,14,28,True,0
24,7,37,31,True,0
25,6,14,28,True,0
25,7,37,32,True,0
26,6,14,28,True,0
26,7,36,32,True,0
27,6,14,28,True,0
27,7,36,33,True,0
28,6,14,28,True,0
28,7,36,34,True,0
29,6,14,28,True,0
29,7,36,35,True,0
30,6,14,28,True,0
30,7,36,36,True,0
31,6,14,28,True,0
31,7,36,37,True,0
32,6,14,28,True,0
32,7,36,38,True,0
33,6,14,28,True,0
33,7,35,38,True,0
34,6,14,28,True,0
34,7,34,38,True,0
35,6,14,28,True,0
35,7,33,38,True,0
36,6,14,28,True,0
36,7,32,38,True,0
37,6,14,28,True,0
37,7,31,38,True,0
38,6,14,28,True,0
38,7,30,38,True,0
39,6,14,28,True,0
39,7,29,38,True,0
40,6,14,28,True,0
40,7,28,38,True,0
41,6,14,28,True,0
41,7,27,38,True,0
42,6,14,28,True,0
42,7,26,38,True,0
43,6,14,28,True,0
43,7,25,38,True,0
44,6,14,28,True,0
44,7,24,38,True,0
45,6,14,28,True,0
45,7,24,38,True,0
46,6,14,28,True,0
46,7,23,38,True,0
47,6,14,28,True,0
47,7,22,38,True,0
48,6,14,28,True,0
48,7,21,38,True,0
49,6,14,28,True,0
49,7,20,38,True,0
50,6,14,28,True,0
50,7,19,38,True,0
51,6,14,28,True,0
51,7,18,38,True,0
52,6,14,28,True,0
52,7,17,38,True,0
53,6,14,28,True,0
53,7,16,38,True,0
54,6,14,28,True,0
54,7,15,38,True,0
55,6,14,28,True,0
55,7,14,38,True,0
56,6,14,28,True,0
56,7,13,38,True,0
57,6,14,28,True,0
57,7,12,38,True,0
58,6,14,28,True,0
58,7,11,38,True,0
59,6,14,28,True,0
59,7,10,38,True,0
60,6,14,28,True,0
60,7,9,38,True,0
61,6,14,28,True,0
61,7,8,38,True,0
62,6,14,28,True,0
62,7,7,38,True,0
63,6,14,28,True,0
63,7,7,37,True,0
64,6,14,28,True,0
64,7,7,36,True,0
65,6,14,28,True,0
65,7,7,35,True,0
66,6,14,28,True,0
66,7,7,34,True,0
67,6,14,28,True,0
67,7,7,33,True,0
68,6,14,28,True,0
68,7,7,32,True,0
